product_id,name,category,price,stock_quantity
1,Organic Bananas,Groceries,0.99,500
2,Wireless Mouse,Electronics,25.50,120
3,Cotton T-Shirt (M),Apparel,15.00,200
4,Ceramic Coffee Mug,Home & Kitchen,8.99,75
5,AA Batteries (8pk),Electronics,12.49,300
6,Whole Milk (1L),Groceries,1.80,150
7,Yoga Mat,Sports,29.99,40
8,LED Desk Lamp,Home & Kitchen,34.00,60
9,Sourdough Bread,Groceries,4.50,30
10,Bluetooth Headphones,Electronics,89.00,55
11,Olive Oil (500ml),Groceries,12.00,90
12,Kitchen Spatula,Home & Kitchen,5.50,110
13,Running Shoes,Sports,75.00,25
14,Notebook (A5),Stationery,3.99,400
15,Ballpoint Pen (Blue),Stationery,0.50,1000
16,Laptop Stand,Electronics,45.00,15
17,Greek Yogurt,Groceries,1.25,80
18,Denim Jeans,Apparel,45.99,65
19,Cast Iron Skillet,Home & Kitchen,40.00,20
20,Dumbbell (5kg),Sports,15.00,50
21,HDMI Cable (2m),Electronics,10.99,150
22,Avocado (Single),Groceries,1.50,120
23,Winter Jacket,Apparel,85.00,30
24,Cutting Board,Home & Kitchen,19.50,45
25,Fountain Pen,Stationery,25.00,15
26,USB-C Hub,Electronics,35.00,40
27,Protein Powder (1kg),Sports,45.00,60
28,White Rice (1kg),Groceries,2.20,300
29,Bed Sheets (Queen),Home & Kitchen,55.00,25
30,Stapler,Stationery,6.50,85
31,Smartphone Case,Electronics,14.99,200
32,Cheddar Cheese,Groceries,5.40,95
33,Hoodie (Gray),Apparel,35.00,110
34,Non-Stick Frying Pan,Home & Kitchen,28.00,35
35,Tennis Racket,Sports,120.00,12
36,Paper Clips (100pk),Stationery,1.20,500
37,External Hard Drive (1TB),Electronics,59.99,45
38,Frozen Pizza,Groceries,6.99,60
39,Canvas Backpack,Apparel,42.00,50
40,Electric Kettle,Home & Kitchen,24.99,40
41,Water Bottle (Insulated),Sports,22.00,90
42,Sticky Notes,Stationery,2.50,300
43,Webcam (1080p),Electronics,49.00,25
44,Ground Coffee (250g),Groceries,8.50,140
45,Bath Towel,Home & Kitchen,12.00,150
46,Resistance Bands,Sports,18.00,70
47,Mechanical Pencil,Stationery,3.00,250
48,Power Bank (10000mAh),Electronics,29.00,80
49,Almond Milk,Groceries,3.20,110
50,Kitchen Scissors,Home & Kitchen,7.99,65
51,Baseball Cap,Apparel,19.00,120
52,Smart Bulb,Electronics,15.99,100
